qa_id,step,country,map_no,template_no,source_index,ability_level,reward_pattern,correct_count,mean_reward,signal_class,clipped_ratio,entropy,grad_norm,selection_reason
mapwise_china_map16_3D_t21_src0811,60,china,map16_3D,21,811,L2,"1,1,1,1",4,1.0,all_correct,0.0,0.21595793589949608,0.0,balance_L2_easy_all_correct
mapwise_china_map4_4D_t1_src0287,61,china,map4_4D,1,287,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.1739642359316349,0.0,balance_L0_hard_nonfullclip
mapwise_china_map6_2D_t6_src0938,63,china,map6_2D,6,938,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.3205718994140625,0.0,balance_L0_hard_nonfullclip
mapwise_china_map6_0D_t21_src0523,64,china,map6_0D,21,523,L2,"0,1,0,1",2,0.5,mixed,0.5,0.14182457327842712,0.05078125,retain_all_mixed_signal
mapwise_china_map3_6D_t3_src0272,65,china,map3_6D,3,272,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.1051218081265688,0.0,balance_L0_hard_nonfullclip
mapwise_china_map6_3C_t32_src0054,67,china,map6_3C,32,54,L2,"0,0,1,1",2,0.5,mixed,0.75,0.1054491475224495,0.042724609375,retain_all_mixed_signal
mapwise_usa_map_957_t33_src2445,68,usa,map_957,33,2445,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.44239161908626556,0.0,balance_L3_easy_all_correct
mapwise_india_map68_0C_t7_src1425,70,india,map68_0C,7,1425,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.2897236496210098,0.0,balance_L0_easy_all_correct
mapwise_india_map7_5C_t16_src1060,71,india,map7_5C,16,1060,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.25,0.25791143625974655,0.0,balance_L1_hard_nonfullclip
mapwise_usa_map_8213_t20_src2317,75,usa,map_8213,20,2317,L3,"1,0,0,1",2,0.5,mixed,0.5,0.19438717514276505,0.06103515625,retain_all_mixed_signal
mapwise_india_map158_0D_t22_src1851,78,india,map158_0D,22,1851,L2,"1,0,1,0",2,0.5,mixed,0.5,0.14003494381904602,0.060546875,retain_all_mixed_signal
mapwise_india_map83_1D_t16_src1482,80,india,map83_1D,16,1482,L1,"1,1,1,1",4,1.0,all_correct,0.0,0.15201213955879211,0.0,balance_L1_easy_all_correct
mapwise_india_map12_7D_t7_src1137,81,india,map12_7D,7,1137,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.20326898992061615,0.0,balance_L0_easy_all_correct
mapwise_china_map2_0C_t34_src0586,82,china,map2_0C,34,586,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.3412911295890808,0.0,balance_L3_easy_all_correct
mapwise_china_map2_3D_t34_src0268,83,china,map2_3D,34,268,L3,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.75,0.08701442927122116,0.0,balance_L3_hard_nonfullclip
mapwise_usa_map_20746_t16_src2220,87,usa,map_20746,16,2220,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.24294381961226463,0.0,balance_L1_hard_nonfullclip
mapwise_usa_map_8083_t4_src2543,89,usa,map_8083,4,2543,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.11824056506156921,0.0,balance_L0_hard_nonfullclip
mapwise_india_map85_0C_t32_src1494,92,india,map85_0C,32,1494,L2,"1,0,1,1",3,0.75,mixed,0.0,0.3749915286898613,0.09423828125,retain_all_mixed_signal
mapwise_india_map91_1C_t19_src1535,93,india,map91_1C,19,1535,L1,"1,1,1,0",3,0.75,mixed,0.0,0.302742637693882,0.03173828125,retain_all_mixed_signal
mapwise_usa_map_8213_t39_src2314,99,usa,map_8213,39,2314,L2,"0,0,0,1",1,0.25,mixed,0.0,0.37095918506383896,0.041015625,retain_all_mixed_signal
